Config archive — PASSED  |  171 entries  |  2026-07-18 15:44

CONFIG           ARCH    VERSION
randdefconfig    x86_64  v7.2-rc2
randdefconfig    x86_64  v7.2-rc2
randdefconfig    x86_64  v7.2-rc2
randdefconfig    x86_64  v7.2-rc2
randdefconfig    x86_64  v7.2-rc2
randdefconfig    x86_64  v7.2-rc2
randdefconfig    x86_64  v7.2-rc2
randdefconfig    x86_64  v7.2-rc2
randdefconfig    x86_64  v7.2-rc3
randdefconfig    x86_64  v7.2-rc3
randdefconfig    x86_64  v7.2-rc3
tinyconfig       arm64   v7.1.3
tinyconfig       arm64   v7.1.4-rc1
tinyconfig       arm64   v7.1.4-rc2
tinyconfig       arm64   v7.2-rc2
tinyconfig       arm64   v7.2-rc2
tinyconfig       arm64   v7.2-rc3
tinyconfig       i386    v7.1.3
tinyconfig       i386    v7.1.3
tinyconfig       i386    v7.1.4-rc1
tinyconfig       i386    v7.1.4-rc2
tinyconfig       i386    v7.2-rc3
tinyconfig       x86_64  v7.1.3
tinyconfig       x86_64  v7.1.3
tinyconfig       x86_64  v7.1.4-rc1
tinyconfig       x86_64  v7.1.4-rc2
tinyconfig       x86_64  v7.2-rc2
tinyconfig       x86_64  v7.2-rc3
